concept id	name	element file id
FMA32631	distal phalanx of little toe	FJ3185
FMA8663	right posterior segmental vein	FJ3070
FMA67165	material anatomical entity	FJ1437
FMA86140	organ segment	FJ2368
FMA37348	muscle of free upper limb	FJ1487
FMA67135	anatomical structure	FJ3334
FMA67498	organ	FJ1389M
FMA37371	muscle of forearm	FJ1487M
FMA67498	organ	FJ3230
FMA55673	organ with cavitated organ parts	FJ3332
FMA67165	material anatomical entity	FJ1477
FMA5018	bone organ	FJ3165
FMA62955	anatomical entity	FJ2630
FMA67135	anatomical structure	FJ3221
FMA62955	anatomical entity	FJ1447M
FMA55671	cavitated organ	FJ3380
FMA22691	right brachial artery	FJ2271
FMA55671	cavitated organ	FJ3230
FMA50720	artery	FJ3018
FMA53655	right palatine bone	FJ3379
FMA50720	artery	FJ2038
FMA62955	anatomical entity	FJ3365
FMA7776	fifth rib	FJ3342
FMA38486	right brachioradialis	FJ1487
FMA62955	anatomical entity	FJ3192
FMA9914	vertebra	FJ3159
FMA67498	organ	FJ3224
FMA67165	material anatomical entity	FJ3273
FMA46664	stylopharyngeus	FJ2758
FMA45950	head of gastrocnemius	FJ1394M
FMA67135	anatomical structure	FJ1447
FMA67619	organ region	FJ1447M
FMA67165	material anatomical entity	FJ1661
FMA8093	left fifth rib	FJ3232
FMA67498	organ	FJ3340
FMA61775	physical anatomical entity	FJ1442
FMA61775	physical anatomical entity	FJ3652
FMA61775	physical anatomical entity	FJ1395M
FMA55665	nonparenchymatous organ	FJ1461M
FMA62955	anatomical entity	FJ1700M
FMA7574	rib	FJ3340
FMA82472	cardinal organ part	FJ1371
FMA67165	material anatomical entity	FJ3221
FMA16585	hip bone	FJ3152
FMA82472	cardinal organ part	FJ1782
FMA5018	bone organ	FJ3344
FMA22328	right gluteus maximus	FJ1418
FMA55107	cartilage organ	FJ3202
FMA67165	material anatomical entity	FJ3647
FMA67135	anatomical structure	FJ1436M
FMA7474	long bone	FJ3260
FMA86187	segment of arterial tree organ	FJ2283
FMA67396	articular disk of symphysis	FJ3213
